xCoord	yCoord	Frame	BEventInfo
0.0838671875	0.5909791666666667	0	Saccade
0.226828125	0.98159375	1	Saccade
0.2358828125	0.9974375	1	Saccade
0.0728671875	0.57684375	2	Saccade
0.0666015625	0.5686145833333334	3	Fixation
0.06789843749999999	0.5701250000000001	4	Fixation
0.067234375	0.5662187500000001	5	Saccade
0.0763046875	0.57875	5	Saccade
0.0783203125	0.5813958333333333	6	Fixation
0.07440625	0.5770104166666666	7	Fixation
0.088125	0.5955312500000001	8	Fixation
0.08134375	0.5840625	9	Fixation
0.0747890625	0.5723125	9	Fixation
0.0747890625	0.5723125	10	Fixation
0.06896875	0.5691145833333333	11	Saccade
0.078	0.580625	11	Saccade
0.0780390625	0.5783541666666667	12	Saccade
0.07578125	0.5761354166666667	14	Saccade
0.2375546875	0.9867083333333333	18	Saccade
0.24060937500000001	0.9914270833333333	19	Saccade
0.326359375	0.45239583333333333	29	Saccade
0.1351875	0.42928125	31	Saccade
0.349125	0.6497499999999999	76	Saccade
0.2973046875	0.5957708333333334	77	Fixation
0.319046875	0.5673541666666666	78	Fixation
0.27814843749999996	0.5487395833333333	79	Fixation
0.2910078125	0.5748958333333333	80	Fixation
0.28565625	0.5602083333333333	81	Saccade
0.2790859375	0.54196875	81	Saccade
0.21185937500000002	0.832125	82	Saccade
0.2648125	0.5573645833333334	83	Saccade
0.1726171875	0.5480416666666666	84	Saccade
0.259578125	0.4704166666666667	84	Saccade
0.3045703125	0.5243749999999999	85	Fixation
0.29053125	0.5762604166666667	86	Fixation
0.32713281250000004	0.6162395833333334	87	Fixation
0.342109375	0.65428125	87	Fixation
0.3176875	0.6331354166666666	88	Fixation
0.3072421875	0.63234375	89	Fixation
0.29519531250000003	0.6131770833333333	90	Fixation
0.29028125	0.6105520833333333	91	Fixation
0.2688046875	0.6084375000000001	91	Fixation
0.2643984375	0.6056666666666667	92	Fixation
0.2640859375	0.6081562500000001	93	Fixation
0.25329687500000003	0.60346875	94	Fixation
0.261421875	0.6367395833333334	95	Saccade
0.1730859375	0.8838125	96	Saccade
0.21931250000000002	0.5743645833333333	96	Saccade
0.173140625	0.8789791666666668	97	Fixation
0.169171875	0.8678125	98	Fixation
0.17289062500000002	0.8584791666666667	99	Fixation
0.149671875	0.8878020833333333	100	Saccade
0.3413515625	0.5781875	100	Saccade
0.3538671875	0.32061458333333337	102	Fixation
0.333125	0.44279166666666664	103	Fixation
0.3790234375	0.4194270833333333	104	Fixation
0.3795	0.41940625	104	Fixation
0.36746093750000003	0.48314583333333333	105	Saccade
0.35646093749999996	0.35709375	106	Saccade
0.37271875	0.41051041666666666	107	Fixation
0.3713515625	0.404875	107	Fixation
0.35021874999999997	0.4235833333333333	108	Saccade
0.3731328125	0.3059895833333333	109	Saccade
0.376484375	0.33010416666666664	110	Fixation
0.375921875	0.3283020833333333	111	Fixation
0.3748359375	0.3320208333333333	111	Fixation
0.3731796875	0.316375	112	Saccade
0.39575	0.4107083333333333	113	Saccade
0.350234375	0.5632916666666666	114	Saccade
0.3536796875	0.6048958333333334	115	Saccade
0.44239843749999996	0.4986770833333333	115	Saccade
0.4401171875	0.5072083333333334	116	Fixation
0.43679687500000003	0.5120520833333333	117	Fixation
0.4398359375	0.5093333333333333	118	Fixation
0.440109375	0.5012395833333333	119	Fixation
0.4389453125	0.49590625	120	Saccade
0.44167187500000005	0.4821145833333333	120	Saccade
0.4402421875	0.4823125	121	Saccade
0.42596875	0.5124375	123	Saccade
0.25025	0.3700625	124	Saccade
0.0938828125	0.46331249999999996	124	Saccade
0.05387499999999999	0.4744479166666667	126	Saccade
0.0714921875	0.49692708333333335	127	Fixation
0.072828125	0.47678125	128	Fixation
0.0814375	0.47274999999999995	128	Fixation
0.0941171875	0.4653541666666667	129	Fixation
0.10587500000000001	0.46513541666666663	130	Fixation
0.1159140625	0.46675	131	Fixation
0.1242734375	0.4776666666666667	131	Fixation
0.12321875	0.48111458333333335	132	Saccade
