xCoord	yCoord	Frame	LEventInfo
0.4821015625	0.844	1	Fixation
0.48167968749999995	0.8466458333333333	2	Fixation
0.48155468749999997	0.8449479166666667	3	Fixation
0.48186718749999996	0.8420000000000001	3	Fixation
0.48059375	0.841	4	Fixation
0.4812265625	0.8372708333333333	5	Fixation
0.48121093750000005	0.8391458333333334	6	Fixation
0.4800703125	0.8346250000000001	7	Fixation
0.48253124999999997	0.8330729166666667	7	Fixation
0.48246874999999995	0.8317083333333334	8	Fixation
0.48189843750000005	0.831875	9	Fixation
0.4815703125	0.8288958333333334	10	Fixation
0.4828984375	0.8303020833333333	10	Fixation
0.4835625	0.8267395833333333	11	Fixation
0.4841640625	0.8229062500000001	12	Fixation
0.484765625	0.8229687499999999	13	Fixation
0.48464843750000003	0.8244479166666667	14	Fixation
0.48596093749999997	0.8188020833333333	14	Saccade
0.4849609375	0.8177708333333332	15	Saccade
0.44932812499999997	0.7978541666666668	16	Saccade
0.3031640625	0.6970520833333332	17	Fixation
0.2892421875	0.6761666666666667	18	Fixation
0.28925	0.6703645833333333	18	Fixation
0.28500000000000003	0.6705416666666667	19	Fixation
0.284890625	0.666	20	Fixation
0.28535937499999997	0.6627291666666667	21	Fixation
0.285546875	0.6596979166666667	21	Fixation
0.286265625	0.6599270833333333	22	Fixation
0.2866484375	0.65603125	23	Fixation
0.2873359375	0.6553645833333334	24	Fixation
0.2846640625	0.6598541666666667	25	Fixation
0.2845859375	0.6586041666666667	26	Fixation
0.283953125	0.65753125	26	Saccade
0.28375	0.6600833333333332	27	Saccade
0.219578125	0.7076770833333333	28	Fixation
0.21257031249999997	0.7113437499999999	29	Fixation
0.20867968750000002	0.71625	30	Fixation
0.2075078125	0.7143958333333333	30	Fixation
0.20806249999999998	0.7174583333333333	31	Fixation
0.2066484375	0.7191041666666667	32	Fixation
0.20447656250000001	0.7220416666666666	33	Fixation
0.20634375	0.7163333333333333	34	Fixation
0.20032812500000002	0.7255208333333333	34	Fixation
0.2040703125	0.7186041666666667	35	Fixation
0.205625	0.7220416666666666	36	Fixation
0.20457031250000002	0.72003125	37	Fixation
0.20705468749999997	0.7197291666666668	37	Fixation
0.20495312499999999	0.7223229166666666	38	Fixation
0.204765625	0.7191979166666667	39	Saccade
0.19765625	0.72384375	40	Saccade
0.1133359375	0.7522395833333333	41	Fixation
0.11060937500000001	0.7501041666666667	41	Fixation
0.1067421875	0.7397083333333333	42	Fixation
0.1084140625	0.7411770833333333	43	Fixation
0.10392187500000001	0.7325416666666666	44	Fixation
0.105453125	0.7397291666666667	45	Fixation
0.10501562499999999	0.7380833333333333	46	Fixation
0.101953125	0.7369375	46	Fixation
0.091796875	0.724625	47	Fixation
0.0989375	0.7238125	48	Fixation
0.094328125	0.7189583333333334	49	Fixation
0.0973671875	0.7070624999999999	49	Saccade
0.09040625	0.7091458333333333	50	Saccade
0.179265625	0.7095625	51	Fixation
0.2125546875	0.7113125	52	Fixation
0.213296875	0.7073437499999999	53	Fixation
